Date(UTC),Pair,Side,Price,Executed,Amount,Fee
6/05/2021 12:45,ETCUSDT,BUY,112.777,0.6810000000ETC,76.80113700USDT,0.0006810000ETC
6/05/2021 11:58,ADAUSDT,SELL,1.662,46.3200000000ADA,76.98384000USDT,0.0769838400USDT
4/05/2021 14:12,ETHUSDT,BUY,"3,420.00",0.0828800000ETH,283.44960000USDT,0.0000828800ETH
25/04/2021 21:01,VETUSDT,BUY,0.16,625.0000000000VET,100.00000000USDT,0.6250000000VET
21/04/2021 12:22,TLMUSDT,SELL,0.287,58.8800000000TLM,16.89856000USDT,0.0168985600USDT
21/04/2021 12:22,TLMUSDT,SELL,0.287,373.1700000000TLM,107.09979000USDT,0.1070997900USDT
21/04/2021 11:49,DOGEUSDT,BUY,0.3000001,413.0000000000DOGE,123.90004130USDT,0.4130000000DOGE
19/04/2021 3:40,VETUSDT,BUY,0.254,298.0000000000VET,75.69200000USDT,0.2980000000VET
18/04/2021 23:40,VETUSDT,BUY,0.247492,349.0000000000VET,86.37470800USDT,0.3490000000VET
15/04/2021 23:47,AUDUSDT,SELL,0.76881,105.7000000000AUD,81.26321700USDT,0.0812632200USDT
15/04/2021 23:47,AUDUSDT,SELL,0.76882,604.6000000000AUD,464.82857200USDT,0.4648285700USDT
14/04/2021 13:30,XRPAUD,BUY,2.30001,652.1000000000XRP,"1,499.83652100AUD",0.6521000000XRP
14/04/2021 13:25,ADAAUD,BUY,1.875,577.4850000000ADA,"1,082.78437500AUD",0.5774850000ADA
14/04/2021 12:58,XRPAUD,BUY,2.3328,215.0000000000XRP,501.55200000AUD,0.2150000000XRP
14/04/2021 12:14,DOGEAUD,BUY,0.18,"1,388.8000000000DOGE",249.98400000AUD,1.3888000000DOGE
14/04/2021 12:02,DOGEAUD,BUY,0.185,300.0000000000DOGE,55.50000000AUD,0.3000000000DOGE
14/04/2021 6:02,TLMUSDT,BUY,0.7,432.7400000000TLM,302.91800000USDT,0.4327400000TLM
14/04/2021 2:37,BTTUSDT,BUY,0.0078001,"48,554.0000000000BTT",378.72605540USDT,48.5540000000BTT
14/04/2021 2:24,AUDUSDT,SELL,0.75821,500.0000000000AUD,379.10500000USDT,0.3791050000USDT
14/04/2021 2:22,AUDUSDT,SELL,0.75806,400.0000000000AUD,303.22400000USDT,0.3032240000USDT
9/04/2021 12:45,POWRBTC,BUY,0.00000991,"2,610.0000000000POWR",0.02586510BTC,2.6100000000POWR
9/04/2021 12:29,BTCAUD,BUY,"77,224.41",0.0627460000BTC,"4,845.52282986AUD",0.0000627500BTC
9/04/2021 12:29,BTCAUD,BUY,"77,224.41",0.0020000000BTC,154.44882000AUD,0.0000020000BTC
