Date,Price,Open,High,Low,Vol.,Change %
01/01/2020,1.4249,1.4241,1.4267,1.4223,4.14K,0.06%
02/01/2020,1.4298,1.425,1.4333,1.4244,48.97K,0.34%
03/01/2020,1.4393,1.4298,1.4432,1.4287,55.14K,0.66%
06/01/2020,1.4407,1.4389,1.4442,1.437,52.40K,0.10%
07/01/2020,1.4556,1.4409,1.4582,1.4402,52.33K,1.03%
08/01/2020,1.456,1.4562,1.4603,1.4521,65.91K,0.03%
09/01/2020,1.4579,1.4564,1.46,1.4532,50.83K,0.13%
10/01/2020,1.4482,1.4582,1.4599,1.4467,58.92K,-0.67%
13/01/2020,1.4484,1.4499,1.453,1.445,52.28K,0.01%
14/01/2020,1.4489,1.4487,1.4526,1.4471,55.26K,0.03%
15/01/2020,1.4484,1.4491,1.4542,1.4456,52.65K,-0.03%
16/01/2020,1.4493,1.4485,1.4521,1.4419,51.83K,0.06%
17/01/2020,1.4548,1.4497,1.4556,1.4467,46.38K,0.38%
20/01/2020,1.4548,1.4532,1.459,1.4514,46.24K,0.00%
21/01/2020,1.4607,1.4548,1.4618,1.4532,53.09K,0.41%
22/01/2020,1.4607,1.4609,1.465,1.4583,50.14K,0.00%
23/01/2020,1.4603,1.461,1.4645,1.4536,45.52K,-0.03%
24/01/2020,1.4641,1.4605,1.4671,1.4581,48.93K,0.26%
27/01/2020,1.4789,1.467,1.4813,1.4643,63.42K,1.01%
28/01/2020,1.4786,1.4792,1.4844,1.4778,61.45K,-0.02%
29/01/2020,1.4804,1.4789,1.4849,1.4753,61.53K,0.12%
30/01/2020,1.4872,1.4806,1.4928,1.48,56.33K,0.46%
31/01/2020,1.4941,1.4877,1.4965,1.4857,51.29K,0.46%
03/02/2020,1.4941,1.4947,1.4968,1.4907,58.45K,0.00%
04/02/2020,1.4837,1.4943,1.4974,1.4832,62.02K,-0.70%
05/02/2020,1.4821,1.4841,1.4875,1.4759,65.89K,-0.11%
06/02/2020,1.4857,1.4821,1.4868,1.4781,51.66K,0.24%
07/02/2020,1.4986,1.4859,1.5013,1.4842,52.03K,0.87%
10/02/2020,1.4954,1.497,1.5021,1.4907,54.35K,-0.21%
11/02/2020,1.4892,1.4956,1.4969,1.4842,51.14K,-0.41%
12/02/2020,1.4839,1.4894,1.49,1.4812,54.03K,-0.36%
13/02/2020,1.4881,1.4841,1.4912,1.4823,50.84K,0.28%
14/02/2020,1.4888,1.4885,1.4907,1.4852,45.97K,0.05%
17/02/2020,1.4892,1.4899,1.4902,1.4849,39.48K,0.03%
18/02/2020,1.495,1.4894,1.4987,1.4888,48.87K,0.39%
19/02/2020,1.4977,1.4955,1.5007,1.4907,44.78K,0.18%
